CustomerID,Name,Email,Region,LoyaltyTier
156,Christopher Ferrell,marycochran@weaver-thompson.com,North,Silver
157,Shawn Jimenez,halljeffery@woods.com,West,Gold
158,James Bryant,samantharichard@yahoo.com,West,Gold
159,Kevin Williams,hernandezjanet@schroeder.com,West,Platinum
160,Kyle Cameron,janet69@rogers.com,East,Gold
161,Donna Smith,fconner@stewart.org,South,Silver
162,Cesar Baker,elizabetholsen@yahoo.com,North,Platinum
163,Jamie Williams,david09@yahoo.com,North,Silver
164,Justin Cox,carriemccall@walker.com,North,Silver
165,James Cole,youngtoni@gmail.com,East,Gold
166,Samantha Hanson,sean43@steele.com,West,Platinum
167,Betty Davis,williamssamuel@costa-wilkerson.info,South,Platinum
168,William Grant,amy17@hotmail.com,East,Gold
169,Charles Morrison,shannonlloyd@phillips.com,West,Silver
170,Andrew Williams,petersonpamela@dennis.com,East,Silver
171,Regina Stone,bbush@hotmail.com,South,Silver
172,Steven Taylor,gmoore@harris-lee.net,West,Silver
173,Emily Long,kenneth10@yahoo.com,East,Platinum
174,Sarah Wheeler,briansmith@gmail.com,South,Platinum
175,Katrina Burns,bgonzalez@gmail.com,North,Gold
176,Karen Smith,tiffany71@glover-ruiz.com,South,Gold
177,Brian Butler,ylopez@lopez-williams.info,North,Platinum
178,Steven Wiggins,jeremy49@gmail.com,East,Platinum
179,Linda Baker,millermaurice@gutierrez.com,West,Silver
180,Valerie Lane,rsheppard@yahoo.com,West,Silver
181,Anthony Castillo,zevans@johnson.org,East,Gold
182,Michelle Hampton,averyshane@stanton.com,West,Platinum
183,Roberto Allen,rmiller@harris-carson.com,West,Gold
184,Melody Lee,renee11@yahoo.com,North,Platinum
185,Jason Gutierrez,melissa87@gmail.com,East,Silver
186,Jonathan Carr,perryeddie@hotmail.com,South,Gold
187,Ryan Luna,hartcraig@dillon-beard.biz,North,Gold
188,Kelly Hoffman,kpena@hotmail.com,East,Platinum
189,Mrs. Jamie Frye DDS,jacksonrichard@hotmail.com,North,Silver
190,Kimberly Lowe,fosternatasha@hotmail.com,South,Gold
191,Melanie Lara,reesesamantha@smith-roth.com,South,Silver
192,John Bernard,megan13@gmail.com,East,Gold
193,Edwin David,uschroeder@yahoo.com,South,Silver
194,Dr. Michele Vaughn,lopezjason@yahoo.com,North,Platinum
195,John Castro DVM,lori82@gmail.com,South,Gold
196,Donna Berry,htaylor@hotmail.com,North,Gold
197,Stephanie Foster,jameswhitaker@wright.com,North,Silver
198,Raymond Thomas,joshuacolon@hotmail.com,South,Silver
199,Tyler Miller,maldonadojohn@yahoo.com,East,Gold
200,Mary Burgess,susanwells@hotmail.com,West,Platinum
201,Ronald Nelson,frank41@yahoo.com,South,Silver
202,Denise Rodriguez,kwilliams@vincent.com,North,Silver
203,Cynthia Williams,denise80@smith.org,North,Silver
204,Courtney Hall,johnnytrujillo@marquez-fletcher.com,South,Gold
205,Gary Kennedy,dyork@yahoo.com,East,Gold
206,Brenda Oconnell,hturner@sanders.com,East,Gold
207,Brooke Delgado,gabrielle71@yahoo.com,North,Gold
208,Karen Santos,michelle44@gmail.com,North,Platinum
209,Donna Mitchell,racheltrujillo@powell.com,East,Platinum
210,Randy Pearson,jordan66@yahoo.com,West,Gold
211,Parker Jefferson,matthewreeves@nichols.com,South,Platinum
212,Thomas Butler,marywalter@gmail.com,North,Silver
213,Taylor Johnson,ruizjoyce@hotmail.com,North,Silver
214,Rachel Lopez,destiny35@garner.biz,East,Silver
215,Shelia Roberts,jorge47@gmail.com,South,Gold
216,Edwin Morrison,delacruzbrandy@hotmail.com,East,Silver
217,Frances Gibson,gpreston@dillon.net,South,Platinum
218,Kelly Small,jbrown@gmail.com,South,Gold
219,Jonathan Nelson,robert97@stewart.com,South,Platinum
220,Erin Simon,lcook@walters-smith.com,North,Silver
221,Michelle Smith,barbaramoore@anderson.biz,West,Silver
222,Edward Craig,ysanford@gmail.com,East,Silver
223,Levi Fowler,jessicadodson@sherman-schmidt.com,West,Gold
224,Jeffrey Murphy,jeremywiley@anderson-reyes.org,East,Platinum
225,Brandon Holden,cameronwilliams@yahoo.com,South,Gold
226,Timothy Smith,ryan25@yahoo.com,North,Gold
227,Jeremy Adams,frederickmeadows@yahoo.com,West,Silver
228,Kevin Berry,jeffreymercer@gross.net,North,Gold
229,Ian Young,richardsondebra@brooks.com,East,Gold
230,Julie Moore,stanleydesiree@williams.biz,North,Silver
231,Tammy Barron,qmartinez@yahoo.com,North,Gold
232,Melissa Fowler,heathermccoy@fisher-garcia.net,West,Silver
233,Holly Walker,robertroach@hotmail.com,South,Silver
234,Karen Gibson,daniel17@lynch.net,North,Silver
235,Jacqueline Miles DVM,jade42@kelley.info,South,Silver
236,Rebecca Petersen,aaronpowers@gmail.com,East,Gold
237,Melanie Larson,stacychan@gmail.com,North,Silver
238,Kelly Rice,dawn74@marshall-garcia.com,West,Silver
239,Thomas Rodriguez,michael56@wilson.com,East,Gold
240,Stephanie Harris,markkline@adams.com,East,Gold
241,Carmen Bond,moralessuzanne@houston-vaughn.info,West,Platinum
242,Michael Love,danielhorton@gmail.com,North,Gold
243,Steven Griffin Jr.,perrybrittany@gregory.com,North,Gold
244,Jason Elliott,timothyfreeman@alexander-brown.com,East,Platinum
245,Megan Parker,tiffanysantiago@stone-watts.org,North,Gold
246,David Smith,pstanley@reed-rhodes.biz,South,Gold
247,Benjamin Henderson,smithsarah@allison.com,West,Gold
248,Kimberly Brown,john40@hotmail.com,South,Gold
249,Victoria Kennedy,ppowell@stevens.info,North,Platinum
250,Christopher Taylor,hwest@mcgee-smith.biz,East,Gold
